_id,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,geometry
438,GO-20103713412,1265518800000,2010,February,7,Sunday,38,D12,Shooting,030,Brookhaven-Amesbury (30),030,Brookhaven-Amesbury (30),-79.50259695440927,43.698410561600106,"{""coordinates"": [[-79.502596954, 43.698410562]], ""type"": ""MultiPoint""}"
439,GO-20103448094,1265605200000,2010,February,8,Monday,39,D31,Shooting,028,Rustic (28),028,Rustic (28),-79.50470964373855,43.71573754643957,"{""coordinates"": [[-79.5047096439999, 43.7157375460001]], ""type"": ""MultiPoint""}"
440,GO-20103456178,1266123600000,2010,February,14,Sunday,45,D43,Other,138,Eglinton East (138),138,Eglinton East (138),-79.23798345621825,43.73812618158424,"{""coordinates"": [[-79.2379834559999, 43.738126182]], ""type"": ""MultiPoint""}"
441,GO-20103593600,1266210000000,2010,February,15,Monday,46,D55,Other,070,South Riverdale (70),070,South Riverdale (70),-79.30969812643043,43.663365892075674,"{""coordinates"": [[-79.3096981259999, 43.6633658920001]], ""type"": ""MultiPoint""}"
442,GO-2010357703,1268283600000,2010,March,11,Thursday,70,D43,Shooting,136,West Hill (136),136,West Hill (136),-79.1994609085625,43.76544169168032,"{""coordinates"": [[-79.199460909, 43.7654416920001]], ""type"": ""MultiPoint""}"
443,GO-20103680160,1268456400000,2010,March,13,Saturday,72,D41,Other,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.31335777210909,43.76654382135294,"{""coordinates"": [[-79.313357772, 43.766543821]], ""type"": ""MultiPoint""}"
444,GO-20103657524,1270353600000,2010,April,4,Sunday,94,D11,Other,087,High Park-Swansea (87),087,High Park-Swansea (87),-79.45340881552916,43.65503981084795,"{""coordinates"": [[-79.453408816, 43.6550398110001]], ""type"": ""MultiPoint""}"
445,GO-20103733844,1272427200000,2010,April,28,Wednesday,118,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.3679272545522,43.65485189395556,"{""coordinates"": [[-79.367927255, 43.654851894]], ""type"": ""MultiPoint""}"
446,GO-20103427476,1272859200000,2010,May,3,Monday,123,D13,Shooting,107,Oakwood Village (107),107,Oakwood Village (107),-79.43375011526585,43.68490719588762,"{""coordinates"": [[-79.433750115, 43.684907196]], ""type"": ""MultiPoint""}"
447,GO-20103662181,1273291200000,2010,May,8,Saturday,128,D14,Other,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.44343772119703,43.66536831944981,"{""coordinates"": [[-79.443437721, 43.665368319]], ""type"": ""MultiPoint""}"
448,GO-20103709341,1273464000000,2010,May,10,Monday,130,D42,Stabbing,148,East L'Amoreaux (148),117,L'Amoreaux (117),-79.31230169419315,43.797482903319754,"{""coordinates"": [[-79.312301694, 43.7974829030001]], ""type"": ""MultiPoint""}"
